Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,10063,13957
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),19820,22403
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,1912,2069
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),3450,3646
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,4402,4996
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),8189,8599
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,2203,2659
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),2833,3619
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,883,1093
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),1402,1419
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,2344,3785
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),4082,6467
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,426,525
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),923,1035
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,984,1415
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),2515,2988
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,54,54
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,344,741
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),836,1158
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,136,257
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),663,663
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,5585,7242
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),10538,14511
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,886,1041
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),2136,2167
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,2076,3151
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),5062,5470
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,1101,1766
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),2175,2175
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,552,862
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),846,846
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,3873,5535
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),8804,9686
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,164,164
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,671,767
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),1367,1367
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,1422,2072
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),3635,4551
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Female-only (including Supernumerary),69P,69P
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,987,1293
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),1476,1476
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,511,553
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),830,830
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,8840,10494
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),19737,20216
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,EWS,Gender-Neutral,1749,1801
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,3444,4500
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),6849,6849
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,SC,Gender-Neutral,1650,2568
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),3531,3531
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,ST,Gender-Neutral,1221,1221
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,4174,4607
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),7679,8287
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,EWS,Gender-Neutral,661,727
